"Statistic","Financial Year","Local Government District","A Class","B Class","C Class"
"Poor","2019/20","Derry City and Strabane",1.1,3.3,7.2
"Poor","2019/20","Fermanagh and Omagh",2.4,4.4,7.5
"Poor","2019/20","Lisburn and Castlereagh",3.2,3.4,4.2
"Poor","2019/20","Mid and East Antrim",1.6,3.1,3.8
"Poor","2019/20","Mid Ulster",2,4.3,5
"Poor","2019/20","Newry, Mourne and Down",4.4,4.8,6.5
"Poor","2019/20","Ards and North Down",3.4,2.8,2.5
"Poor","2019/20","Northern Ireland",2.4,3.6,5.3
"Poor","2020/21","Antrim and Newtownabbey",1.1,2.6,2.3
"Poor","2020/21","Armagh City, Banbridge and Craigavon",1.8,3,4.7
"Poor","2020/21","Belfast",2.6,1.8,2.1
"Poor","2020/21","Causeway Coast and Glens",1,2.5,3.3
"Poor","2020/21","Derry City and Strabane",1.3,3.3,7.2
"Poor","2020/21","Fermanagh and Omagh",2,4,7
"Poor","2020/21","Lisburn and Castlereagh",3.4,3.3,4.2
"Poor","2020/21","Mid and East Antrim",1.2,2.8,3.3
"Poor","2020/21","Mid Ulster",1.8,4.1,4.6
"Poor","2020/21","Newry, Mourne and Down",4.2,4.6,6.4
"Poor","2020/21","Ards and North Down",3,2.7,2.5
"Poor","2020/21","Northern Ireland",2.2,3.4,5.1
"Poor","2021/22","Antrim and Newtownabbey",1.1,2.7,2.3
"Poor","2021/22","Armagh City, Banbridge and Craigavon",1.7,3.1,4.7
"Poor","2021/22","Belfast",2.9,1.5,1.8
"Poor","2021/22","Causeway Coast and Glens",0.9,2.5,3.3
"Poor","2021/22","Derry City and Strabane",1.7,3.2,6.8
"Poor","2021/22","Fermanagh and Omagh",1.8,4,7
"Poor","2021/22","Lisburn and Castlereagh",3.1,3.2,3.5
"Poor","2021/22","Mid and East Antrim",1.1,2.3,2.9
"Poor","2021/22","Mid Ulster",1.6,4.2,4.5
"Poor","2021/22","Newry, Mourne and Down",3.3,4.6,6.4
"Poor","2021/22","Ards and North Down",2.6,2.8,2
"Poor","2021/22","Northern Ireland",1.9,3.3,5
"Poor","2022/23","Antrim and Newtownabbey",1.2,2.5,2.4
"Poor","2022/23","Armagh City, Banbridge and Craigavon",1.8,2.7,4.6
"Poor","2022/23","Belfast",2.8,1.5,1.9
"Poor","2022/23","Causeway Coast and Glens",1.1,2.2,2.4
"Poor","2022/23","Derry City and Strabane",1.9,2.6,4.2
"Poor","2022/23","Fermanagh and Omagh",1.7,3.6,5.9
"Poor","2022/23","Lisburn and Castlereagh",2.6,3.1,3.5
"Poor","2022/23","Mid and East Antrim",1.3,2,2.4
"Poor","2022/23","Mid Ulster",1.5,4.1,4.2
"Poor","2022/23","Newry, Mourne and Down",3.2,4.2,6
"Poor","2022/23","Ards and North Down",3,3,1.7
"Poor","2022/23","Northern Ireland",2,3.1,4.3
"Poor","2023/24","Antrim and Newtownabbey",1.7,2.5,2.4
"Poor","2023/24","Armagh City, Banbridge and Craigavon",2.3,2.4,4.6
"Poor","2023/24","Belfast",2.9,2.1,1.9
"Poor","2023/24","Causeway Coast and Glens",1.3,1.7,2.1
"Poor","2023/24","Derry City and Strabane",1.8,2.5,5.4
"Poor","2023/24","Fermanagh and Omagh",1.9,3.2,6
"Poor","2023/24","Lisburn and Castlereagh",3,2.9,3.6
"Poor","2023/24","Mid and East Antrim",2,2,2.4
"Poor","2023/24","Mid Ulster",1.4,4,4.2
"Poor","2023/24","Newry, Mourne and Down",3.9,3.8,6
"Poor","2023/24","Ards and North Down",3.6,4,2
"Poor","2023/24","Northern Ireland",2.3,2.8,4.4
"Poor","2024/25","Antrim and Newtownabbey",1.7,3,2.9
"Poor","2024/25","Armagh City, Banbridge and Craigavon",2.3,2.2,5.1
"Poor","2024/25","Belfast",2.9,2.2,2
"Poor","2024/25","Causeway Coast and Glens",1.2,2.5,3.4
"Poor","2024/25","Derry City and Strabane",1.8,4.4,8.8
"Poor","2024/25","Fermanagh and Omagh",1.9,4.4,8.8
"Poor","2024/25","Lisburn and Castlereagh",3,3.1,3.6
"Poor","2024/25","Mid and East Antrim",2,2.1,3.5
"Poor","2024/25","Mid Ulster",1.4,4.1,5.6
"Poor","2024/25","Newry, Mourne and Down",3.9,5.7,9.8
"Poor","2024/25","Ards and North Down",3.6,4.2,2.1
"Poor","2024/25","Northern Ireland",2.4,3.6,6.3
